script_path,hit_count,classification,cutover_role,blocker_status
scripts/build_evaluate_j_mmwave_m1_loso.py,3,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_breath_harmonic_correction.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/audit_signal_quality_0814.py,4,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_formal_attention_lopo.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/build_acq_reference_validation_report.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/compare_mmwave_reference.py,3,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/compare_a2_ecg_mae.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_personalized_temporal.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_rich_focus_features.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_j_multimodal_loso.py,3,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_mmwave_behavior_criterion.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_mmwave_behavior_fusion.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_hrv_peak_gating.py,4,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_runtime_focus_system.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_raw_motion_features.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/evaluate_within_subject_focus.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/fit_personalized_calibration.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/make_EData_summary.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/mmwave_focus_system.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/plot_formal_all.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/plot_vitalsign_pipeline_0813.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/preview_crossmodal_frame.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/prototype_attention_model.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/run_rsp_gate.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/run_e_data_batch_fast.py,3,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/run_beijing_sensor_increment_v1.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/run_beijing_preprobe_state_comparison_v1.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/summarize_e_final.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/run_beijing_longitudinal_event_analysis_v1.py,3,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/scan_new_batch_quality.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/update_focuswave_pipeline.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/summarize_formal_fast.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/validate_external_agebalanced.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/validate_external_formal_0814.py,4,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/validate_external_gold_0814.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/tools/compare_all_datasets.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/verify_system_release.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
