branch_name,head_sha,last_commit_date,scientific_or_engineering_purpose,retained_unique_assets,canonical_successor,open_pr_dependency,classification,deletion_prerequisite,recommended_final_action
codex/c3-multimodal-readiness-and-baseline-20260826,455755bf66e37ab17dd9b961e6ff5dd83e7ea16e,2026-08-26 04:26:16 +0800,NIR readiness baseline,NIR readiness docs,results/engineering_reference,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/c3a-formal-nir-full-v2-20260826,add2b62d3331ecd35c9a93f0d68804730442c6d4,2026-08-26 05:05:32 +0800,NIR fullclass availability,NIR engineering reference,results/engineering_reference,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/common-longitudinal-handoff,f4714248c5ac09806555a1ad6a737254297a3b03,2026-08-25 19:04:07 +0800,longitudinal handoff,design docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/d1-beijing-zhuhai-canonical-20260826,bb5535b97b04e315d3cdb748ef1cb8e8778a7939,2026-08-26 04:21:54 +0800,Beijing-Zhuhai harmonization,D1 method entry,docs/methods,none,MIGRATE_THEN_DELETE,identity/storage blocker resolved,delete only after review
codex/final-behavior-context-baseline-20260826,f7b0542e0b19a74a3f00035c758ae95145f7ef43,2026-08-26 05:55:21 +0800,old behavior baseline,72-session fallback,results/superseded_index,none,ARCHIVE_REFERENCE_THEN_DELETE,mark superseded,archive then delete after approval
codex/final-report-cohort-baseline-v2,414a4f46c8d058961a87750345d06a7129afc9f2,2026-08-26 16:03:34 +0800,canonical Beijing C+B baseline,70/46/1400 aggregate,results/canonical,none,MIGRATE_THEN_DELETE,entry/provenance verified,delete only after review
codex/focuswave-mainline-restructure-v1,82db0227b19420b65a95024939cbb6f694a1dac1,2026-08-26 19:19:07 +0800,mainline restructure candidate,architecture/contracts/results,protected candidate,task review,ACTIVE_TASK_DO_NOT_TOUCH,final GPT/Sol review,do not touch
codex/gpt-audit-baseline-nir-v1,b8c1e62e86142fbd42faad1ec0dd654df02fdee9,2026-08-26 17:02:19 +0800,baseline/NIR audit,audit docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/gpt-codex-handoff-20260825,4e0f1aaa195f8346df4794da03527f383bf05db0,2026-08-26 16:31:24 +0800,GPT-Codex handoff,execution pointer,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/local-analysis-library-canonicalization-20260826,ce4da877743132d6a8b4f21a298c58b1b06f3f5e,2026-08-26 17:29:03 +0800,canonical analysis library,registry/provenance/aggregate packages,protected ref,Sol review,ACTIVE_TASK_DO_NOT_TOUCH,final repository review,do not touch
codex/m1-mmwave-person-effect-audit-20260826,70c8ab1bbe02012b01916e4894af2e6d74eedfe0,2026-08-26 05:31:14 +0800,M1 person-effect diagnostic,M1 aggregate,results/supporting,none,MIGRATE_THEN_DELETE,aggregate/provenance migrated,delete only after review
codex/protocol-identity-update-20260826,6e2eda0af827c7a6bff8056ec7d1e79bef955336,2026-08-26 04:19:27 +0800,identity/NIR reuse handoff,protocol docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/q1-questionnaire-criterion-validity-20260826,ba7a2c652bea82c3fa58ad5858a7460ed933fb47,2026-08-26 03:54:08 +0800,questionnaire criterion validity,Q1 aggregate,results/supporting,none,MIGRATE_THEN_DELETE,semantic/provenance verification,delete only after review
codex/report-cohort-label-vigilance-20260826,67851bff212fc1e73b9611ac5de670581e316cc7,2026-08-26 05:52:58 +0800,report cohort label vigilance,validity aggregate,results/canonical,none,MIGRATE_THEN_DELETE,entry/provenance verified,delete only after review
codex/report-repeat-session-effects-20260826,c2de2af3ba6fd46d351c4da4fcf05e281f982cff,2026-08-26 05:51:35 +0800,repeat-session robustness,repeat effects aggregate,results/supporting,none,MIGRATE_THEN_DELETE,aggregate/provenance migrated,delete only after review
codex/rs6240-sol-review-20260825,49552a96d7e7665cca6f700bbad2a561db7f6d05,2026-08-25 04:47:35 +0800,RS6240 review,hardware review docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
docs/rs6240-firmware-multichannel-plan-20260825,53c5814e518ebb43a6288860591f3f44feb17abd,2026-08-25 03:47:48 +0800,firmware plan,firmware docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
experimental/formal-v311-ab-20260825,aeb5e39cb0a6529f1bd1d4549826f05d72ad2743,2026-08-25 13:54:09 +0800,experimental formal runner,experimental code,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
master,96525b19422b34291e4d87747fef214d1fec60d7,2026-08-25 20:56:56 +0800,historical pre-FocusWave repository base,base files,legacy/mmwave-hrv-master-pre-focuswave-20260826,none,LEGACY_PRESERVE_UNTIL_CUTOVER,legacy tag plus rollback window,tag legacy commit; derive main from approved candidate; delete old master only after rollback window
sample/formal-mmwave-v1,4af812701d2814b948c8320ab64a5a14bcce76e7,2026-08-25 22:36:47 +0800,deidentified mmWave structure sample,sample files,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
sample/formal-mmwave-v1-clean,4af812701d2814b948c8320ab64a5a14bcce76e7,2026-08-25 22:36:47 +0800,deidentified mmWave structure sample,sample files,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
sol/scientific-review-20260826,5704843ec5abbd51fad0aac68df228ac76e2965d,2026-08-26 17:40:32 +0800,Sol scientific review gate,review/fix task,protected ref,final gate,ACTIVE_TASK_DO_NOT_TOUCH,final repository review,do not touch
